;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;1000000000000000.0;0.206485714;0.08433;
Non-renewable;Fossil fuel;GASOLINE;1000000000000000.0;0.3448;0.082366044;
Non-renewable;Fossil fuel;DIESEL;1000000000000000.0;0.3148;0.079743788;
Renewable;Renewable fuel;GASOLINE_RE;1000000000000000.0;0.0;0.1502;
Renewable;Renewable fuel;DIESEL_RE;1000000000000000.0;0.0;0.1502;
Non-renewable;Fossil fuel;LFO;1000000000000000.0;0.3115;0.06015058;
Renewable;Renewable fuel;LFO_RE;1000000000000000.0;0.0;0.1502;
Non-renewable;Fossil fuel;JET_FUEL;1000000000000000.0;0.3148;0.079743788;
Renewable;Renewable fuel;JET_FUEL_RE;1000000000000000.0;0.0;0.1502;
Non-renewable;Fossil fuel;GAS;1000000000000000.0;0.2666;0.04425306;
Renewable;Renewable fuel;GAS_RE;1000000000000000.0;0.0;0.118326;
Renewable;Biomass;WOOD;110805.66472222222;0.02456;0.0;
Renewable;Biomass;WET_BIOMASS;1450.622309335963;0.01056;0.0;
Renewable;Biomass;ENERGY_CROPS_2;7754.110000000001;0.00756;0.0;
Renewable;Biomass;BIOMASS_RESIDUES;4985.241666666667;0.00324;0.0;
Renewable;Biomass;BIOWASTE;4720.944444444444;0.01488;0.0;
Non-renewable;Fossil fuel;COAL;1000000000000000.0;0.4014;0.017657892;
Non-renewable;Other non-renewable;URANIUM;1000000000000000.0;0.0039;0.003876456;
Non-renewable;Other non-renewable;WASTE;11095.02;0.1501;0.023080857;
Non-renewable;Other non-renewable;H2;1000000000000000.0;0.36380236;0.088003981;
Renewable;Renewable fuel;H2_RE;1000000000000000.0;0.0;0.119242396;
Non-renewable;Other non-renewable;AMMONIA;1000000000000000.0;0.455844357;0.094714031;
Non-renewable;Other non-renewable;METHANOL;1000000000000000.0;0.4076314;0.101985823;
Renewable;Renewable fuel;AMMONIA_RE;1000000000000000.0;0.0;0.081823311;
Renewable;Renewable fuel;METHANOL_RE;1000000000000000.0;0.0;0.111323944;
Export;Export;CO2_EMISSIONS;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_WIND;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_SOLAR;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_HYDRO;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_GEO;1000000000000000.0;0.0;0.0;
Others;Others;CO2_ATM;1000000000000000.0;0.0;0.0;
Others;Others;CO2_INDUSTRY;1000000000000000.0;0.0;0.0;
Others;Others;CO2_CAPTURED;1000000000000000.0;0.0;0.0;
Others;Others;PT_HEAT;1000000000000000.0;0.0;0.0;
Others;Others;ST_HEAT;1000000000000000.0;0.0;0.0;
